Age,Gender,City,Monthly_Household_Income_AED,Occupation,Health_Consciousness,Fitness_Activities,Servings_per_Week,Motivations,Purchase_Channels,Preferred_Pack_Size,Packaging_Type,Flavor_Preferences,Eco_Friendly_Packaging_Score,Price_Discount_Influence,Willingness_Score,Max_Price_WTP_500ml_AED,Monthly_Spend_AED,Subscription_Plan,Value_Add_Ranking,Brand_Descriptors,Recommended_Brand,Key_Problem,Delivery_Tolerance_Score,Additional_Suggestions
24,Female,Sharjah,14900.0,Salaried,5,"Running,Gym",6,Muscle recovery,"Gym kiosk,Supermarket,Food-delivery app",1 L,Tetra Pak,"Tropical,Coffee",4,5,6,11.96,61.17,Maybe,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips","Trustworthy,Innovative",Yes,Limited flavors,2,Provide protein-rich options
35,Male,Abu Dhabi,2300.0,Student,3,Yoga,5,"Weight control,Convenience","Food-delivery app,Brand website,Supermarket",500 ml,Tetra Pak,"Coffee,Unflavored,Vanilla",5,5,4,12.97,74.1,Maybe,"1-Free delivery,2-Loyalty points,3-Bundle deals,4-Personalized nutrition tips",Premium,Yes,Limited flavors,2,Introduce more flavors
40,Male,Dubai,5300.0,Student,4,"Running,Yoga",6,Immunity,"Food-delivery app,Brand website,Supermarket",1 L,Tetra Pak,"Unflavored,Berry,Vanilla",5,4,7,10.03,54.32,Maybe,"1-Free delivery,2-Loyalty points,3-Personalized nutrition tips,4-Bundle deals","Sustainable,Innovative,Premium",No,Hard to find,3,Introduce more flavors
33,Male,Dubai,23200.0,Salaried,4,Yoga,7,Immunity,"Brand website,Food-delivery app,Pharmacy",250 ml,PET bottle,Berry,3,4,8,13.65,83.05,Yes,"1-Free delivery,2-Personalized nutrition tips,3-Loyalty points,4-Bundle deals",Trustworthy,No,Limited flavors,5,Introduce more flavors
30,Female,Dubai,3100.0,Salaried,1,"Yoga,Running",2,"Immunity,Convenience","Supermarket,Pharmacy,Brand website",250 ml,Powder pouch,"Tropical,Chocolate,Coffee",1,3,5,8.98,18.54,Yes,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals",Premium,No,Too expensive,4,
44,Male,Al Ain,8300.0,Student,3,"Running,Yoga",5,"Muscle recovery,Immunity","Brand website,Food-delivery app",250 ml,PET bottle,"Vanilla,Chocolate",2,3,6,15.09,80.86,Maybe,"1-Personalized nutrition tips,2-Bundle deals,3-Loyalty points,4-Free delivery","Sustainable,Innovative,Trustworthy",Yes,Packaging not eco-friendly,4,
64,Female,Abu Dhabi,3800.0,Student,5,"None,Yoga",5,Immunity,Pharmacy,500 ml,PET bottle,Unflavored,4,2,4,12.12,62.24,Yes,"1-Loyalty points,2-Bundle deals,3-Free delivery,4-Personalized nutrition tips","Premium,Innovative",No,Hard to find,1,Provide protein-rich options
48,Male,Fujairah,9400.0,Self-employed,1,"Yoga,Gym,Running",2,Weight control,"Brand website,Food-delivery app,Supermarket",250 ml,Recyclable can,"Tropical,Unflavored",3,1,10,18.44,38.11,No,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips",Fun,Yes,Too expensive,1,Lower the sugar content
60,Male,Dubai,11500.0,Salaried,5,"Gym,Yoga",4,Weight control,"Brand website,Gym kiosk,Pharmacy",500 ml,Powder pouch,Chocolate,2,3,7,12.51,58.36,Yes,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points","Fun,Premium",No,Unclear nutritional info,2,Use recyclable packaging
25,Male,Abu Dhabi,5900.0,Student,1,"None,Gym",0,"Taste,Weight control","Food-delivery app,Brand website",500 ml,Tetra Pak,Coffee,1,3,5,11.53,0.0,Maybe,"1-Bundle deals,2-Loyalty points,3-Personalized nutrition tips,4-Free delivery","Fun,Trustworthy",No,Limited flavors,3,Provide protein-rich options
52,Male,Abu Dhabi,19200.0,Salaried,4,None,6,Muscle recovery,Pharmacy,Multi-pack,PET bottle,Chocolate,4,1,8,15.35,78.31,No,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals",Innovative,Yes,Too much sugar,4,Use recyclable packaging
23,Male,Dubai,10600.0,Homemaker,5,"None,Yoga,Team sports",3,"Immunity,Weight control","Gym kiosk,Food-delivery app",1 L,PET bottle,Chocolate,5,2,5,13.13,39.54,No,"1-Loyalty points,2-Bundle deals,3-Personalized nutrition tips,4-Free delivery","Sustainable,Fun",No,Unclear nutritional info,4,Introduce more flavors
63,Female,Abu Dhabi,3900.0,Salaried,3,"None,Gym",3,"Muscle recovery,Convenience","Food-delivery app,Brand website",500 ml,Powder pouch,"Unflavored,Vanilla,Tropical",4,5,5,7.68,27.55,No,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery","Fun,Trustworthy,Affordable",No,Limited flavors,3,Use recyclable packaging
44,Female,Abu Dhabi,7100.0,Student,1,Running,3,Muscle recovery,"Brand website,Supermarket,Food-delivery app",500 ml,PET bottle,"Tropical,Coffee,Chocolate",3,3,4,9.2,30.71,Maybe,"1-Free delivery,2-Loyalty points,3-Personalized nutrition tips,4-Bundle deals","Sustainable,Innovative,Premium",Yes,Too much sugar,1,
57,Female,Sharjah,7900.0,Self-employed,3,"Running,Team sports,None",7,Immunity,Food-delivery app,500 ml,Tetra Pak,Chocolate,3,3,8,9.03,73.87,Maybe,"1-Bundle deals,2-Loyalty points,3-Personalized nutrition tips,4-Free delivery",Trustworthy,No,Unclear nutritional info,1,Offer subscription discounts
35,Female,Dubai,8600.0,Student,1,Yoga,4,Convenience,Gym kiosk,500 ml,PET bottle,Tropical,5,1,7,15.02,69.13,Yes,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery","Affordable,Fun",Yes,Hard to find,5,Lower the sugar content
22,Female,Dubai,3500.0,Salaried,1,None,2,Convenience,"Supermarket,Brand website,Gym kiosk",500 ml,PET bottle,"Vanilla,Chocolate,Coffee",4,2,7,12.33,21.69,Maybe,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery",Innovative,Yes,Packaging not eco-friendly,1,
44,Male,Dubai,15300.0,Homemaker,2,"Gym,Running,None",2,"Weight control,Convenience","Supermarket,Food-delivery app,Pharmacy",Multi-pack,Tetra Pak,Unflavored,2,2,7,11.56,20.76,No,"1-Free delivery,2-Bundle deals,3-Loyalty points,4-Personalized nutrition tips","Fun,Trustworthy,Affordable",No,Hard to find,4,Introduce more flavors
36,Female,Dubai,7700.0,Student,1,Team sports,3,Immunity,"Brand website,Supermarket,Gym kiosk",250 ml,Powder pouch,"Vanilla,Chocolate",2,2,4,9.1,29.88,Yes,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals",Sustainable,No,Hard to find,5,Offer subscription discounts
61,Male,Sharjah,6600.0,Homemaker,4,Gym,6,"Muscle recovery,Weight control","Brand website,Supermarket,Gym kiosk",500 ml,Tetra Pak,"Chocolate,Tropical",5,2,4,9.65,50.96,Maybe,"1-Loyalty points,2-Bundle deals,3-Free delivery,4-Personalized nutrition tips","Affordable,Innovative",Yes,Unclear nutritional info,5,Introduce more flavors
45,Male,Dubai,2700.0,Salaried,5,"Yoga,Team sports,Running",6,Muscle recovery,"Supermarket,Pharmacy",500 ml,Powder pouch,Chocolate,2,2,6,8.94,62.51,No,"1-Free delivery,2-Bundle deals,3-Personalized nutrition tips,4-Loyalty points","Fun,Sustainable,Trustworthy",Yes,Unclear nutritional info,5,
46,Male,Dubai,17400.0,Self-employed,3,Gym,1,Muscle recovery,"Brand website,Gym kiosk",250 ml,Tetra Pak,Berry,4,3,3,8.52,6.99,Maybe,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips",Affordable,No,Packaging not eco-friendly,1,Lower the sugar content
59,Male,Dubai,14200.0,Salaried,2,Running,0,Muscle recovery,Food-delivery app,1 L,PET bottle,"Unflavored,Tropical,Chocolate",1,2,4,7.96,0.0,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals",Innovative,No,Unclear nutritional info,4,Introduce more flavors
60,Male,Dubai,9000.0,Salaried,3,Team sports,5,Muscle recovery,"Gym kiosk,Food-delivery app",1 L,Tetra Pak,"Berry,Vanilla,Unflavored",5,1,6,10.39,49.73,No,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips","Premium,Fun,Affordable",No,Limited flavors,3,Introduce more flavors
36,Female,Abu Dhabi,31800.0,Self-employed,3,Gym,2,Muscle recovery,Supermarket,500 ml,PET bottle,Vanilla,3,4,3,12.33,27.51,Maybe,"1-Free delivery,2-Personalized nutrition tips,3-Bundle deals,4-Loyalty points","Affordable,Sustainable,Trustworthy",No,Packaging not eco-friendly,1,Offer subscription discounts
40,Female,Abu Dhabi,22400.0,Student,3,"Gym,Running,Yoga",2,Weight control,"Gym kiosk,Pharmacy",500 ml,Recyclable can,"Unflavored,Chocolate",2,2,8,15.08,29.39,No,"1-Personalized nutrition tips,2-Free delivery,3-Loyalty points,4-Bundle deals",Affordable,Yes,Too much sugar,3,Introduce more flavors
41,Male,Dubai,12200.0,Other,4,Team sports,3,"Immunity,Muscle recovery",Food-delivery app,500 ml,PET bottle,Tropical,3,5,4,11.54,40.18,No,"1-Personalized nutrition tips,2-Bundle deals,3-Loyalty points,4-Free delivery","Premium,Trustworthy,Innovative",No,Hard to find,1,Introduce more flavors
40,Female,Abu Dhabi,7300.0,Student,1,Running,1,"Muscle recovery,Weight control","Gym kiosk,Brand website,Supermarket",250 ml,PET bottle,"Tropical,Chocolate,Vanilla",5,1,4,10.91,9.83,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals","Innovative,Trustworthy",No,Too expensive,5,
39,Male,Dubai,6700.0,Self-employed,4,"None,Running",3,"Immunity,Muscle recovery",Food-delivery app,500 ml,PET bottle,Chocolate,5,2,5,9.97,33.39,Maybe,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips","Trustworthy,Sustainable",No,Too much sugar,2,Introduce more flavors
41,Male,Abu Dhabi,7300.0,Student,5,"Yoga,Gym",5,Immunity,Supermarket,Multi-pack,PET bottle,"Tropical,Coffee",2,2,10,16.31,95.87,No,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips","Affordable,Innovative",Yes,Too expensive,4,Use recyclable packaging
59,Female,Dubai,3700.0,Student,1,"Yoga,None,Team sports",3,"Weight control,Convenience","Supermarket,Pharmacy",500 ml,PET bottle,"Tropical,Coffee",4,2,1,6.74,17.74,Yes,"1-Bundle deals,2-Personalized nutrition tips,3-Free delivery,4-Loyalty points","Premium,Innovative,Fun",No,Too much sugar,1,
56,Male,Al Ain,14300.0,Self-employed,2,Gym,4,"Taste,Convenience","Gym kiosk,Food-delivery app",Multi-pack,PET bottle,"Unflavored,Vanilla,Coffee",1,5,3,6.09,27.94,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery",Fun,Yes,Unclear nutritional info,4,
58,Male,Sharjah,5700.0,Student,1,Running,2,Weight control,Supermarket,250 ml,PET bottle,"Unflavored,Coffee",2,2,2,9.91,17.7,No,"1-Free delivery,2-Personalized nutrition tips,3-Bundle deals,4-Loyalty points","Innovative,Sustainable",Yes,Unclear nutritional info,5,Lower the sugar content
33,Male,Sharjah,3300.0,Salaried,2,"None,Team sports,Gym",2,Muscle recovery,"Pharmacy,Food-delivery app,Supermarket",Multi-pack,Tetra Pak,Tropical,3,2,5,10.05,16.9,Maybe,"1-Personalized nutrition tips,2-Bundle deals,3-Free delivery,4-Loyalty points","Sustainable,Fun,Premium",No,Limited flavors,2,Lower the sugar content
18,Female,Dubai,9700.0,Salaried,5,"Gym,None",3,"Taste,Immunity",Supermarket,500 ml,Tetra Pak,Vanilla,2,4,7,12.03,29.35,No,"1-Loyalty points,2-Free delivery,3-Personalized nutrition tips,4-Bundle deals","Fun,Affordable,Innovative",No,Limited flavors,5,Lower the sugar content
38,Male,Dubai,5100.0,Salaried,2,"Team sports,Gym",2,"Immunity,Muscle recovery","Supermarket,Brand website,Gym kiosk",Multi-pack,PET bottle,Coffee,5,4,5,10.82,18.81,Maybe,"1-Loyalty points,2-Bundle deals,3-Personalized nutrition tips,4-Free delivery","Trustworthy,Fun,Affordable",Yes,Too expensive,4,Introduce more flavors
38,Male,Dubai,1500.0,Student,5,Yoga,5,Muscle recovery,Supermarket,250 ml,Tetra Pak,"Tropical,Vanilla,Berry",4,4,4,7.04,40.82,No,"1-Free delivery,2-Loyalty points,3-Bundle deals,4-Personalized nutrition tips",Innovative,No,Too expensive,4,Provide protein-rich options
25,Female,Abu Dhabi,11300.0,Self-employed,3,Gym,4,Weight control,Supermarket,500 ml,Tetra Pak,"Coffee,Vanilla",5,4,6,15.12,56.1,Maybe,"1-Free delivery,2-Personalized nutrition tips,3-Loyalty points,4-Bundle deals",Innovative,No,Limited flavors,4,Lower the sugar content
25,Female,Sharjah,2700.0,Salaried,4,"None,Team sports,Gym",4,Muscle recovery,Brand website,250 ml,Powder pouch,"Chocolate,Vanilla,Tropical",3,2,7,9.79,35.78,Yes,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips",Affordable,Yes,Limited flavors,2,Introduce more flavors
46,Male,Sharjah,8300.0,Salaried,4,None,2,Taste,"Food-delivery app,Supermarket,Gym kiosk",500 ml,PET bottle,"Berry,Tropical",4,2,6,12.66,25.67,Maybe,"1-Loyalty points,2-Bundle deals,3-Personalized nutrition tips,4-Free delivery","Premium,Innovative",Yes,Hard to find,4,Lower the sugar content
29,Female,Abu Dhabi,8600.0,Student,2,"Running,Yoga,None",6,Weight control,"Supermarket,Food-delivery app",500 ml,Powder pouch,Berry,2,3,5,13.34,81.31,Maybe,"1-Free delivery,2-Bundle deals,3-Personalized nutrition tips,4-Loyalty points","Affordable,Trustworthy,Sustainable",No,Too much sugar,4,Provide protein-rich options
58,Female,Dubai,7900.0,Salaried,2,"Gym,Running,None",2,Taste,Food-delivery app,1 L,PET bottle,Unflavored,1,5,6,12.32,23.9,No,"1-Personalized nutrition tips,2-Free delivery,3-Loyalty points,4-Bundle deals","Trustworthy,Fun,Innovative",No,Too much sugar,2,Lower the sugar content
59,Male,Dubai,7900.0,Homemaker,2,Gym,3,"Weight control,Immunity","Gym kiosk,Food-delivery app,Pharmacy",250 ml,PET bottle,"Tropical,Vanilla",3,1,6,13.32,37.54,Yes,"1-Free delivery,2-Personalized nutrition tips,3-Loyalty points,4-Bundle deals",Innovative,No,Packaging not eco-friendly,5,Use recyclable packaging
27,Female,Abu Dhabi,3700.0,Self-employed,3,"Gym,Team sports,None",2,"Immunity,Muscle recovery",Pharmacy,250 ml,Tetra Pak,"Berry,Vanilla,Coffee",5,5,0,3.18,5.83,No,"1-Loyalty points,2-Free delivery,3-Personalized nutrition tips,4-Bundle deals","Trustworthy,Sustainable,Affordable",No,Hard to find,5,
22,Male,Sharjah,5300.0,Student,3,Running,3,"Weight control,Muscle recovery","Food-delivery app,Supermarket",250 ml,Powder pouch,"Coffee,Vanilla",4,1,5,9.35,28.2,Maybe,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips","Sustainable,Affordable",No,Packaging not eco-friendly,3,Offer subscription discounts
21,Female,Abu Dhabi,4800.0,Student,1,Gym,1,"Immunity,Convenience","Pharmacy,Supermarket,Food-delivery app",Multi-pack,Tetra Pak,"Vanilla,Coffee",3,4,5,10.9,9.98,No,"1-Loyalty points,2-Bundle deals,3-Personalized nutrition tips,4-Free delivery","Premium,Trustworthy,Innovative",Yes,Too much sugar,1,Introduce more flavors
55,Male,Abu Dhabi,3900.0,Self-employed,5,None,3,Muscle recovery,"Pharmacy,Supermarket",250 ml,Recyclable can,"Tropical,Berry",2,2,7,11.63,34.32,Yes,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips","Innovative,Fun",No,Unclear nutritional info,2,Use recyclable packaging
36,Male,Sharjah,15700.0,Salaried,5,"Yoga,None",4,"Convenience,Immunity","Food-delivery app,Brand website,Pharmacy",500 ml,Tetra Pak,"Chocolate,Berry,Coffee",1,1,6,10.74,42.38,No,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points","Fun,Premium",No,Packaging not eco-friendly,1,Provide protein-rich options
52,Non-binary,Dubai,11600.0,Salaried,3,Running,2,"Convenience,Weight control","Gym kiosk,Food-delivery app,Brand website",500 ml,PET bottle,"Unflavored,Vanilla",1,1,5,10.5,22.31,Maybe,"1-Loyalty points,2-Bundle deals,3-Personalized nutrition tips,4-Free delivery","Trustworthy,Fun",No,Limited flavors,4,
28,Female,Abu Dhabi,10700.0,Retired,5,"None,Yoga,Gym",2,Weight control,"Supermarket,Brand website,Pharmacy",Multi-pack,PET bottle,"Chocolate,Vanilla",5,5,9,14.74,32.27,Maybe,"1-Free delivery,2-Personalized nutrition tips,3-Loyalty points,4-Bundle deals","Trustworthy,Fun,Sustainable",No,Hard to find,3,
62,Female,Abu Dhabi,2900.0,Salaried,2,Gym,3,"Muscle recovery,Taste",Food-delivery app,500 ml,PET bottle,"Chocolate,Vanilla,Berry",1,2,5,12.54,35.15,Maybe,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips","Sustainable,Innovative",No,Unclear nutritional info,3,Use recyclable packaging
37,Male,Ajman,20500.0,Salaried,2,"Running,Yoga",4,Immunity,"Brand website,Food-delivery app",1 L,Tetra Pak,"Coffee,Chocolate",1,3,4,12.43,56.66,No,"1-Loyalty points,2-Personalized nutrition tips,3-Free delivery,4-Bundle deals","Sustainable,Innovative,Affordable",Yes,Unclear nutritional info,3,Offer subscription discounts
51,Female,Dubai,5900.0,Student,1,"Running,None",2,Taste,"Supermarket,Food-delivery app,Gym kiosk",1 L,PET bottle,"Coffee,Vanilla,Chocolate",5,5,4,8.08,17.4,Maybe,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips","Innovative,Trustworthy",Yes,Too much sugar,5,Lower the sugar content
50,Male,Abu Dhabi,8100.0,Other,2,"Yoga,Gym,None",4,Muscle recovery,"Food-delivery app,Gym kiosk",500 ml,PET bottle,"Tropical,Chocolate",2,5,3,9.09,30.58,Yes,"1-Free delivery,2-Personalized nutrition tips,3-Bundle deals,4-Loyalty points","Innovative,Premium,Sustainable",No,Hard to find,3,
34,Male,Other,1700.0,Salaried,2,"Gym,Running,None",2,Muscle recovery,"Brand website,Pharmacy,Supermarket",250 ml,Powder pouch,"Vanilla,Chocolate,Coffee",2,1,4,14.06,23.18,No,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips",Innovative,Yes,Packaging not eco-friendly,5,Provide protein-rich options
57,Male,Sharjah,9600.0,Self-employed,4,Yoga,5,Immunity,Pharmacy,500 ml,PET bottle,"Chocolate,Unflavored,Berry",2,3,7,9.91,53.07,Maybe,"1-Personalized nutrition tips,2-Bundle deals,3-Loyalty points,4-Free delivery","Sustainable,Trustworthy",No,Packaging not eco-friendly,2,Use recyclable packaging
50,Female,Al Ain,8600.0,Student,4,"Running,Gym",5,Convenience,Gym kiosk,250 ml,Tetra Pak,"Chocolate,Unflavored",2,1,2,9.8,48.87,No,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips",Sustainable,No,Too much sugar,5,Introduce more flavors
45,Male,Sharjah,4200.0,Self-employed,4,"Gym,Yoga",2,"Weight control,Convenience",Supermarket,250 ml,PET bottle,"Tropical,Chocolate",1,3,5,12.0,24.89,Maybe,"1-Personalized nutrition tips,2-Bundle deals,3-Loyalty points,4-Free delivery",Fun,No,Limited flavors,5,Lower the sugar content
51,Male,Other,12900.0,Self-employed,2,Team sports,1,"Convenience,Muscle recovery",Pharmacy,250 ml,PET bottle,Chocolate,5,1,4,11.66,11.55,No,"1-Free delivery,2-Bundle deals,3-Personalized nutrition tips,4-Loyalty points","Fun,Premium",No,Limited flavors,5,Use recyclable packaging
61,Male,Dubai,14400.0,Student,2,"Gym,Yoga,None",4,Weight control,"Supermarket,Food-delivery app,Pharmacy",500 ml,PET bottle,Chocolate,2,5,4,9.51,36.5,No,"1-Bundle deals,2-Loyalty points,3-Personalized nutrition tips,4-Free delivery","Innovative,Affordable,Sustainable",No,Unclear nutritional info,3,Provide protein-rich options
63,Female,Dubai,23200.0,Salaried,1,None,0,Convenience,Food-delivery app,1 L,Tetra Pak,Tropical,2,4,2,10.2,0.0,No,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery","Sustainable,Trustworthy,Affordable",No,Too expensive,1,Lower the sugar content
26,Male,Al Ain,8000.0,Homemaker,3,None,2,"Weight control,Immunity","Food-delivery app,Gym kiosk,Supermarket",1 L,Tetra Pak,"Vanilla,Tropical,Chocolate",1,3,8,15.31,24.57,Yes,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals","Affordable,Innovative,Premium",Yes,Packaging not eco-friendly,4,Provide protein-rich options
22,Male,Dubai,2900.0,Salaried,2,"Yoga,Team sports",3,"Convenience,Weight control",Supermarket,500 ml,Powder pouch,"Unflavored,Vanilla",3,3,4,8.98,29.47,Maybe,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips","Sustainable,Affordable,Innovative",No,Limited flavors,4,
48,Male,Dubai,23100.0,Self-employed,5,"None,Running",8,"Taste,Weight control",Supermarket,500 ml,Tetra Pak,Vanilla,1,1,5,11.52,88.72,No,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points",Trustworthy,No,Hard to find,1,Introduce more flavors
59,Male,Al Ain,17400.0,Salaried,3,Running,8,Muscle recovery,"Pharmacy,Supermarket",1 L,PET bottle,"Vanilla,Berry",3,2,5,12.71,107.35,No,"1-Personalized nutrition tips,2-Bundle deals,3-Free delivery,4-Loyalty points","Affordable,Trustworthy",No,Too expensive,4,Lower the sugar content
18,Male,Dubai,5000.0,Salaried,5,"Yoga,Running",7,Immunity,"Supermarket,Gym kiosk,Pharmacy",250 ml,PET bottle,"Unflavored,Coffee",3,4,7,10.31,78.63,Maybe,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips",Affordable,No,Unclear nutritional info,1,Provide protein-rich options
52,Male,Dubai,10600.0,Self-employed,5,Yoga,2,Muscle recovery,"Food-delivery app,Supermarket,Pharmacy",250 ml,PET bottle,Vanilla,2,2,5,10.82,21.24,Maybe,"1-Free delivery,2-Loyalty points,3-Personalized nutrition tips,4-Bundle deals","Fun,Premium,Affordable",No,Limited flavors,4,Introduce more flavors
20,Male,Dubai,9500.0,Salaried,2,Yoga,0,"Convenience,Weight control","Supermarket,Pharmacy",1 L,Tetra Pak,"Berry,Tropical,Unflavored",3,2,6,11.09,0.0,Maybe,"1-Personalized nutrition tips,2-Bundle deals,3-Loyalty points,4-Free delivery","Affordable,Fun",Yes,Hard to find,1,Provide protein-rich options
52,Female,Dubai,7400.0,Homemaker,2,"Gym,Running,Yoga",3,"Weight control,Muscle recovery","Pharmacy,Gym kiosk,Supermarket",500 ml,Powder pouch,"Chocolate,Tropical",3,4,3,9.12,26.18,No,"1-Free delivery,2-Loyalty points,3-Personalized nutrition tips,4-Bundle deals","Premium,Fun",Yes,Too expensive,4,Provide protein-rich options
60,Female,Sharjah,10500.0,Self-employed,5,"Yoga,Gym",4,Muscle recovery,Supermarket,500 ml,Powder pouch,Vanilla,1,5,5,8.68,32.2,Maybe,"1-Loyalty points,2-Free delivery,3-Personalized nutrition tips,4-Bundle deals","Premium,Trustworthy",No,Too expensive,2,Provide protein-rich options
64,Male,Abu Dhabi,18800.0,Salaried,5,"None,Gym",4,Muscle recovery,"Supermarket,Gym kiosk,Brand website",500 ml,Tetra Pak,Berry,4,5,2,11.41,52.91,Maybe,"1-Loyalty points,2-Free delivery,3-Personalized nutrition tips,4-Bundle deals","Sustainable,Trustworthy,Innovative",Yes,Too expensive,1,Use recyclable packaging
39,Female,Sharjah,14700.0,Student,4,"Gym,None,Yoga",7,"Immunity,Taste","Supermarket,Food-delivery app",250 ml,Recyclable can,"Vanilla,Chocolate,Tropical",2,3,7,16.07,133.88,Yes,"1-Free delivery,2-Bundle deals,3-Loyalty points,4-Personalized nutrition tips",Trustworthy,No,Hard to find,1,Provide protein-rich options
22,Female,Sharjah,9000.0,Student,1,"None,Running,Gym",3,"Immunity,Muscle recovery",Brand website,1 L,PET bottle,"Tropical,Chocolate",3,2,5,9.96,28.62,Yes,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals","Affordable,Sustainable,Trustworthy",No,Hard to find,4,Provide protein-rich options
49,Male,Dubai,7300.0,Salaried,3,"Running,None",4,Muscle recovery,"Food-delivery app,Gym kiosk",500 ml,Recyclable can,"Berry,Tropical,Chocolate",5,3,7,10.87,48.93,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery","Premium,Trustworthy",Yes,Hard to find,1,Lower the sugar content
50,Female,Dubai,7900.0,Student,1,Team sports,3,Immunity,"Food-delivery app,Pharmacy",1 L,Tetra Pak,Tropical,1,5,1,5.44,17.11,Yes,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery","Fun,Affordable,Innovative",No,Unclear nutritional info,2,Lower the sugar content
18,Female,Dubai,21000.0,Homemaker,2,"Gym,None,Team sports",2,"Convenience,Immunity","Pharmacy,Food-delivery app",1 L,PET bottle,"Chocolate,Coffee",1,2,7,15.31,28.06,Yes,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips","Sustainable,Innovative",No,Packaging not eco-friendly,5,Lower the sugar content
19,Female,Abu Dhabi,9400.0,Salaried,2,"Gym,Team sports",3,Taste,Pharmacy,500 ml,PET bottle,"Unflavored,Chocolate",5,5,6,12.81,34.39,Yes,"1-Free delivery,2-Bundle deals,3-Personalized nutrition tips,4-Loyalty points","Fun,Trustworthy",Yes,Hard to find,3,Lower the sugar content
22,Male,Dubai,3200.0,Other,3,"Yoga,Gym",1,Taste,"Food-delivery app,Brand website",500 ml,Recyclable can,Berry,1,4,5,8.96,9.68,No,"1-Loyalty points,2-Bundle deals,3-Personalized nutrition tips,4-Free delivery","Affordable,Premium",Yes,Hard to find,4,Use recyclable packaging
42,Male,Other,12100.0,Student,2,"Gym,Running,None",5,"Weight control,Immunity","Gym kiosk,Food-delivery app",500 ml,PET bottle,"Vanilla,Unflavored,Berry",3,4,6,11.99,48.8,Maybe,"1-Free delivery,2-Loyalty points,3-Personalized nutrition tips,4-Bundle deals","Premium,Sustainable",Yes,Unclear nutritional info,5,Lower the sugar content
57,Female,Dubai,7700.0,Salaried,4,"Team sports,Yoga,None",4,"Weight control,Immunity","Supermarket,Food-delivery app,Pharmacy",500 ml,PET bottle,"Coffee,Chocolate",1,5,6,9.56,42.19,No,"1-Bundle deals,2-Loyalty points,3-Personalized nutrition tips,4-Free delivery","Fun,Sustainable",Yes,Too expensive,3,Provide protein-rich options
23,Male,Sharjah,2800.0,Salaried,4,"None,Yoga,Team sports",6,Weight control,"Supermarket,Food-delivery app,Pharmacy",500 ml,Tetra Pak,"Tropical,Vanilla",3,5,3,5.76,38.41,No,"1-Personalized nutrition tips,2-Bundle deals,3-Free delivery,4-Loyalty points",Innovative,No,Packaging not eco-friendly,1,Lower the sugar content
45,Female,Dubai,10700.0,Homemaker,1,"Running,Gym,Team sports",2,Muscle recovery,"Food-delivery app,Supermarket,Brand website",1 L,PET bottle,"Chocolate,Tropical,Berry",4,2,4,10.24,20.98,No,"1-Bundle deals,2-Free delivery,3-Personalized nutrition tips,4-Loyalty points","Premium,Affordable",No,Packaging not eco-friendly,5,Provide protein-rich options
